Reservoir_name,Basin,Subbasin,Agency_name,Lat,Long,Date,Year,Month,Full_reservoir_level,Live_capacity_FRL,Storage,Level
Bhadra Reservoir,Krishna Basin,Tungabhadra Upper,CWC,13.64683326,75.57523868,02-10-23,2023,10,657.76,1.785,0.96136,649.681
Bhadra Reservoir,Krishna Basin,Tungabhadra Upper,CWC,13.64683326,75.57523868,03-10-23,2023,10,657.76,1.785,0.95542,649.611
Bhadra Reservoir,Krishna Basin,Tungabhadra Upper,CWC,13.64683326,75.57523868,04-10-23,2023,10,657.76,1.785,0.94947,649.541
Bhadra Reservoir,Krishna Basin,Tungabhadra Upper,CWC,13.64683326,75.57523868,05-10-23,2023,10,657.76,1.785,0.94352,649.471
Bhandardara,Godavari Basin,Godavari Upper,CWC,19.53360841,73.73667121,01-10-23,2023,10,744.91,0.304,0.30372,744.73
Bhandardara,Godavari Basin,Godavari Upper,CWC,19.53360841,73.73667121,02-10-23,2023,10,744.91,0.304,0.30372,744.73
Bhandardara,Godavari Basin,Godavari Upper,CWC,19.53360841,73.73667121,03-10-23,2023,10,744.91,0.304,0.30372,744.73
Bhandardara,Godavari Basin,Godavari Upper,CWC,19.53360841,73.73667121,04-10-23,2023,10,744.91,0.304,0.30372,744.73
Bhandardara,Godavari Basin,Godavari Upper,CWC,19.53360841,73.73667121,05-10-23,2023,10,744.91,0.304,0.30372,744.73
Bhatghar,Krishna Basin,Bhima Upper,CWC,18.19950638,73.77891971,01-10-23,2023,10,623.28,0.673,NA,NA
Bhatghar,Krishna Basin,Bhima Upper,CWC,18.19950638,73.77891971,02-10-23,2023,10,623.28,0.673,NA,NA
Bhatghar,Krishna Basin,Bhima Upper,CWC,18.19950638,73.77891971,03-10-23,2023,10,623.28,0.673,NA,NA
Bhatghar,Krishna Basin,Bhima Upper,CWC,18.19950638,73.77891971,04-10-23,2023,10,623.28,0.673,NA,NA
Bhatghar,Krishna Basin,Bhima Upper,CWC,18.19950638,73.77891971,05-10-23,2023,10,623.28,0.673,0.67265,623.28
Bhatsa,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,CWC,19.53243081,73.44134616,01-10-23,2023,10,142.07,0.942,0.93623,141.8
Bhatsa,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,CWC,19.53243081,73.44134616,02-10-23,2023,10,142.07,0.942,0.93858,141.88
Bhatsa,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,CWC,19.53243081,73.44134616,03-10-23,2023,10,142.07,0.942,0.93975,141.92
Bhatsa,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,CWC,19.53243081,73.44134616,04-10-23,2023,10,142.07,0.942,0.94034,141.94
Bhatsa,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,CWC,19.53243081,73.44134616,05-10-23,2023,10,142.07,0.942,0.94034,142.07
Bhima\Ujjani Reservoir,Krishna Basin,Bhima Upper,CWC,18.20876823,75.0103563,01-10-23,2023,10,496.83,1.517,NA,NA
Bhima\Ujjani Reservoir,Krishna Basin,Bhima Upper,CWC,18.20876823,75.0103563,02-10-23,2023,10,496.83,1.517,NA,NA
Bhima\Ujjani Reservoir,Krishna Basin,Bhima Upper,CWC,18.20876823,75.0103563,03-10-23,2023,10,496.83,1.517,NA,NA
